;timestamp;recording
0;2.169;1
1;7.441;1
2;12.546;1
3;35.435;1
4;37.971;1
5;39.406;1
6;44.645;1
7;45.946;1
8;52.886;1
9;60.26;1
10;68.735;1
11;70.27;1
12;73.206;1
13;85.953;1
14;97.731;1
15;107.908;1
16;109.242;1
17;112.179;1
18;113.647;1
19;120.621;1
20;126.626;1
21;132.132;1
22;138.839;1
23;140.841;1
24;156.323;1
25;158.291;1
26;159.926;1
27;169.036;1
28;184.951;1
29;184.985;1
30;187.254;1
31;189.189;1
32;196.329;1
33;198.298;1
34;200.033;1
35;207.808;1
36;212.079;1
37;214.214;1
38;215.615;1
39;215.882;1
40;238.405;1
41;243.477;1
42;249.883;1
43;255.655;1
44;261.128;1
45;263.864;1
46;265.132;1
47;271.872;1
48;304.237;1
49;304.304;1
50;313.246;1
51;320.987;1
52;327.46;1
53;330.53;1
54;335.569;1
55;336.937;1
56;338.038;1
57;338.939;1
58;345.278;1
59;350.25;1
60;362.896;1
61;367.968;1
62;371.872;1
63;374.074;1
64;375.342;1
65;380.747;1
66;382.983;1
67;384.651;1
68;385.185;1
69;387.153;1
70;395.295;1
71;398.965;1
72;403.169;1
73;407.374;1
74;418.318;1
75;453.286;1
76;453.987;1
77;455.455;1
78;462.195;1
79;469.502;1
80;473.907;1
81;477.077;1
82;484.484;1
83;500.734;1
84;504.838;1
85;506.873;1
86;511.878;1
87;522.288;1
88;528.728;1
89;541.641;1
90;544.077;1
91;561.494;1
92;573.873;1
93;577.811;1
94;582.282;1
95;586.319;1
96;594.36;1
97;609.509;1
98;612.812;1
99;612.979;1
